EIN,name,fin_labels,text_labels,geo_labels,fin_dist_1,fin_dist_2,fin_dist_3,text_dist_1,text_dist_2,text_dist_3,text_dist_4,geo_dist_1,geo_dist_2
561434187,a,1,1,1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.1
954820311,b,1,1,1,0,0.1,0.1,0.3,0.3,0.2,0.1,0.1,0.3
200509226,c,2,1,2,0.3,0.2,0.1,0.2,0.2,0.2,0.1,0.3,0.1
42662873,d,3,1,2,0.7,0.2,0.2,0.2,0.1,0.3,0.2,0.1,0.1
42466767,e,3,1,2,0.7,0.3,0.2,0.2,0.3,0.3,0.2,0.3,0.3
630797410,f,1,2,1,0.1,0.5,0.4,0.7,0.3,0.4,0.6,0.3,0.7
204212837,g,2,2,1,0.7,0.6,0.6,0.7,0.4,0.3,0.5,0.5,0.3
202699020,h,3,2,2,0.7,0.3,0.3,0.5,0.3,0.7,0.5,0.5,0.3
382912028,i,1,3,2,0.1,0.7,0.9,0.9,0.7,0.8,0.7,0.9,0.8
631282125,j,1,3,2,0,0.9,0.7,0.9,0.8,0.7,0.7,0.7,0.9
251525572,k,2,3,1,0.5,0.7,0.7,0.7,0.8,0.9,0.9,0.8,0.9
42964630,l,3,3,1,0.8,0.7,0.9,0.9,0.7,0.9,0.7,0.9,0.9
810593280,m,3,3,2,0.9,0.9,0.8,0.9,0.7,0.9,0.9,0.9,0.7
946181807,n,3,3,2,0.9,0.7,0.9,0.9,0.9,0.7,0.9,0.9,0.8
221936892,o,3,3,1,0.8,0.7,0.8,0.8,0.7,0.7,0.8,0.8,0.9
436050205,p,3,3,1,0.7,0.7,0.8,0.7,0.9,0.9,0.7,0.7,0.8
412164361,q,2,4,2,0.3,0.7,0.8,0.8,0.7,0.8,0.9,0.9,0.9
936027198,r,3,4,2,0.8,0.9,0.9,0.8,0.8,0.7,0.7,0.8,0.7
411375036,s,3,4,2,0.8,0.8,0.9,0.8,0.8,0.9,0.8,0.8,0.8